"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40076",292,382,123,267,410,402,156,161,118,83,202,177,0.703856415706317,4.7853908058765,3.09345526458032,0.00822241261489455,0.999575362848836,-4.06624319366591
"2","GB40148",1588,5123,1018,2838,2175,1706,1079,752,473,2457,512,395,1.14773551166293,7.41085179189538,2.81384744915162,0.0141892096674677,0.999575362848836,-4.24159570499427
"3","GB40228",11,61,5,13,40,47,6,10,15,4,1,4,1.70466229259915,0.569816026164703,3.0856479481889,0.00834899229668338,0.999575362848836,-4.44562305313204
"4","GB40407",16,4,8,9,6,6,15,14,6,34,24,27,-1.59011769660427,0.686977092958482,-3.08244117929575,0.00840154276155589,0.999575362848836,-4.43444506432575
"5","GB40445",24,17,9,17,15,25,20,21,18,30,32,22,-0.795489763899193,1.45516488177738,-3.17889296642667,0.00695600401102021,0.999575362848836,-4.37653511928664
"6","GB40842",78,144,36,123,109,136,44,48,71,54,61,39,0.565494557285557,3.25010039802121,2.98394353829082,0.0101857293847713,0.999575362848836,-4.24445780109187
"7","GB41410",26,23,7,14,19,14,30,22,15,21,30,30,-0.897486090609009,1.42760128756045,-3.03022501313117,0.0093049220761117,0.999575362848836,-4.39327582808526
"8","GB42319",234,176,52,227,216,214,176,259,243,279,198,237,-0.751450533694509,4.72685794944435,-3.77660442023692,0.00216482208373032,0.999575362848836,-3.8840199145612
"9","GB42549",62,47,18,161,110,75,61,3,27,15,7,10,1.93779711680431,2.01394579561495,3.14365649678055,0.00745288001463482,0.999575362848836,-4.35495234600633
"10","GB42660",99,222,46,99,105,156,49,72,50,67,56,56,0.600868283444055,3.42348029117231,3.28249409470652,0.00567858881610423,0.999575362848836,-4.17116713326806
"11","GB42801",58,90,43,156,36,102,12,35,32,25,11,15,1.44365125720118,2.35121312535067,3.53260927250612,0.00348128150836312,0.999575362848836,-4.27419527614338
"12","GB42965",88,117,48,84,95,168,35,55,77,52,43,35,0.630008337752276,3.17684142284457,3.31665868692425,0.00531109054906067,0.999575362848836,-4.19697581345879
"13","GB43313",8,9,5,11,8,15,8,16,11,17,13,12,-0.827079868043421,0.568284489352146,-3.23521994270339,0.00622946897504348,0.999575362848836,-4.42856367701538
"14","GB43778",141,128,56,108,116,106,132,116,170,199,98,95,-0.663744567929368,3.9811851770217,-3.29844945947061,0.0055038931595928,0.999575362848836,-4.08052960472356
"15","GB43916",14,14,3,6,13,23,12,31,13,13,17,17,-0.927650581105436,0.849886275119816,-2.97419160127629,0.0103815916417422,0.999575362848836,-4.43356880217126
"16","GB44223",277,291,180,219,256,295,180,1225,1019,208,232,998,-1.26038480952689,5.52838730374592,-2.67239610160725,0.0186633372104666,0.999575362848836,-4.16837904264448
"17","GB44367",126,162,49,70,37,136,6,54,44,7,0,9,2.82918910396715,1.89940616959101,3.53670010735625,0.00345358287795135,0.999575362848836,-4.3427793448127
"18","GB45846",32,33,9,81,89,62,6,8,14,38,3,26,1.49996400401664,1.57154861421444,2.6870647307917,0.0181419022683564,0.999575362848836,-4.427675375517
"19","GB46055",29,51,13,35,45,50,17,13,14,23,11,12,0.89337140550153,1.61498899988003,4.09497437542599,0.00117160582587814,0.999575362848836,-4.28856623699758
"20","GB46096",18,27,10,70,17,69,12,1,16,1,1,2,2.68146043525122,0.400991417986248,3.90120283533225,0.00170084229019907,0.999575362848836,-4.39442879245408
"21","GB46222",73,36,41,66,201,93,42,234,139,237,134,115,-1.25480148292921,3.70993549102539,-2.88981300637006,0.0122391882516543,0.999575362848836,-4.20936692200024
"22","GB46737",1701,2654,769,1621,1651,3936,512,1274,1849,937,605,508,0.786106233666058,7.37839135842148,2.66962791222439,0.0187633616637938,0.999575362848836,-4.26950144512857
"23","GB46900",46,34,26,33,32,39,48,38,32,51,48,61,-0.759577489361712,2.43014680919868,-2.93531012504557,0.0112001905718712,0.999575362848836,-4.32867437679344
"24","GB47040",427,320,191,329,542,288,278,690,553,500,350,313,-0.669896282989641,5.65995146241516,-2.94649613982351,0.0109583650210348,0.999575362848836,-4.09092665323983
"25","GB47055",102,307,42,223,190,239,90,76,94,93,48,45,0.827793092058917,3.82374807935036,2.95418283745564,0.0107951849768394,0.999575362848836,-4.19168907868877
"26","GB47545",115,428,29,341,285,130,37,72,39,27,72,89,1.41778651196513,3.62600470502136,2.90653300303694,0.0118467659534651,0.999575362848836,-4.23296034904919
"27","GB47929",128,231,62,135,154,196,56,41,162,57,39,46,0.949088164094086,3.60851198884932,3.41336992805823,0.00439509829684012,0.999575362848836,-4.13043835604312
"28","GB47966",22,23,7,22,24,53,5,12,11,6,12,7,1.02494882690612,0.912943658675547,3.26519481824694,0.00587427936192546,0.999575362848836,-4.41007465784892
"29","GB49386",98,1049,69,81,102,192,66,44,25,54,32,29,1.63001866275421,3.37883031617071,2.8466902560827,0.0133112918685789,0.999575362848836,-4.27180433037197
"30","GB49440",266,574,86,297,222,198,65,60,75,148,48,54,1.43260098331209,4.11293483714894,4.64502869458197,0.000414867216363093,0.999575362848836,-3.8792251320394
"31","GB49441",765,2739,382,1642,1808,795,308,236,188,1175,299,310,1.3578077614441,6.36752787147112,3.13881072480719,0.00752392216018754,0.999575362848836,-4.10305086110178
"32","GB49543",7207,9073,2301,5011,4122,6543,2406,2682,3795,3060,1498,1603,0.803401927434235,8.88926741330195,3.23993924583608,0.00617215470914034,0.999575362848836,-4.25238609566737
"33","GB49734",15,22,6,12,29,27,30,47,14,28,18,20,-0.853539875716169,1.45739521405028,-2.91550038432029,0.011641433283961,0.999575362848836,-4.40260737275722
"34","GB49843",58,113,25,75,101,112,35,28,52,32,27,30,0.82580337476074,2.73284442313967,3.81410849931202,0.00201298688827214,0.999575362848836,-4.18400369621045
"35","GB50537",273,230,102,327,208,240,201,390,378,502,202,219,-0.77141950807509,5.09244768767063,-3.25240463262137,0.00602329016580779,0.999575362848836,-3.99630538023312
"36","GB50733",69,55,34,42,47,50,55,62,41,83,98,42,-0.691772780653339,2.87380426826257,-2.70349165385729,0.0175747897897698,0.999575362848836,-4.32696115817252
"37","GB51504",446,503,203,553,384,997,218,159,237,266,229,178,0.791652241925694,5.39545291046538,3.68370446774974,0.00259307567864914,0.999575362848836,-3.90999919152112
"38","GB51797",24,112,15,39,82,111,16,20,12,15,44,22,1.08337402554942,2.09143337709566,2.68786404045281,0.0181138997114546,0.999575362848836,-4.39240095724215
"39","GB52158",553,2376,290,617,654,1037,295,539,495,352,280,200,0.752331328857874,6.07540429940672,2.75811544838446,0.015810548768577,0.999575362848836,-4.1689817580155
"40","GB52836",2521,3623,1302,2557,4916,1315,9857,7635,4719,16084,1187,4608,-1.53189300744992,8.95155546794921,-3.06385731746948,0.00871261597459557,0.999575362848836,-4.28263423619599
"41","GB52837",94,102,27,48,157,43,105,255,194,627,47,165,-1.70684595278838,3.84974928649441,-3.20489140633313,0.00661070586044002,0.999575362848836,-4.13707643609834
"42","GB52864",4507,11200,2820,3514,5500,7226,3752,2215,3155,2151,1677,2203,0.75142556408222,8.90417425558549,2.92835399622448,0.0113532196224245,0.999575362848836,-4.30005595942603
