"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40431",60,90,27,121,130,109,12,50,7,77,17,64,1.35770363043888,2.58574260611172,3.23162223341113,0.00641900397769674,0.999807237463572,-4.20103204447856
"2","GB41655",722,645,346,614,681,621,253,327,191,507,255,614,0.715332628096302,5.82242820597521,3.41703254481805,0.00447990790127557,0.999807237463572,-3.81587225261221
"3","GB41856",11,7,3,3,8,18,11,11,10,10,30,23,-1.11162990934623,0.427908956622991,-3.17016418507094,0.00723229150741477,0.999807237463572,-4.41954446208903
"4","GB42310",2268,1122,575,1231,3778,757,83,498,19,145,738,546,2.51893725458959,6.00644191378412,3.92274132800001,0.00169189612530736,0.999807237463572,-3.77141111911661
"5","GB42428",281,544,153,546,454,354,100,199,53,355,141,239,1.06331272378789,4.90920696376388,3.46638253782958,0.00407149039828447,0.999807237463572,-3.80282386441872
"6","GB42703",10,10,4,9,6,8,14,13,12,16,19,18,-1.07273367581502,0.521842353387839,-4.01532195824161,0.00141833636535904,0.999807237463572,-4.35245315300464
"7","GB42965",88,117,48,77,106,93,35,55,27,70,53,81,0.613386712406458,3.07773141221142,4.06157857547773,0.00129906662026393,0.999807237463572,-3.95276246740996
"8","GB43500",976,1603,198,1421,879,649,151,326,39,586,99,899,1.66239073705473,5.73563609741606,2.94008153429963,0.0112987141333665,0.999807237463572,-3.99593019579281
"9","GB43568",5,25,3,4,6,8,10,14,11,16,10,27,-1.07311835509189,0.36372625025243,-3.12562609340879,0.00788527224970514,0.999807237463572,-4.42715007963012
"10","GB44070",1548,2307,661,1766,1472,2377,278,1044,151,1502,502,1169,1.30482280841241,6.93759841172034,3.16955690247776,0.00724082144292153,0.999807237463572,-3.99655745011329
"11","GB44657",28,80,17,34,45,74,35,69,41,70,70,123,-0.726810600953315,2.70629325137704,-3.32527547746994,0.00535226238670801,0.999807237463572,-4.15205427736552
"12","GB45030",24,13,9,9,12,28,23,27,22,20,31,32,-0.919059717969374,1.33357865914063,-3.13768560396049,0.00770287047096604,0.999807237463572,-4.34988565926107
"13","GB45085",19,37,11,19,23,32,8,14,7,16,16,24,0.586524447085606,1.16097651614215,3.02343117377761,0.00961406536842832,0.999807237463572,-4.3765903897004
"14","GB45882",97,54,31,63,73,87,66,101,58,86,88,150,-0.607940674917354,3.26624526351003,-2.95732287248559,0.0109278099232323,0.999807237463572,-4.14011277193174
"15","GB46047",221,179,86,191,186,182,90,70,24,101,97,187,0.83879464604938,3.90857335298178,3.70067701158878,0.00258981767811159,0.999807237463572,-3.85741519530836
"16","GB47720",47,89,24,53,46,45,30,28,12,30,28,53,0.605142229149125,2.23709362307943,3.05137777053902,0.00910697463702444,0.999807237463572,-4.26436557207597
"17","GB47736",783,1325,583,1421,1326,1308,718,556,307,670,800,1034,0.609321808340019,6.73107021801766,3.29051949049716,0.00572564428936786,0.999807237463572,-3.93910067636888
"18","GB47779",142,31,16,12,42,219,98,114,66,88,162,239,-1.48239851292803,3.22632347367096,-3.01904317006333,0.00969619247443096,0.999807237463572,-4.14799695758684
"19","GB48155",20,27,11,11,21,27,24,32,18,28,39,39,-0.760839545846554,1.59636554680657,-4.08376940738246,0.00124554863282961,0.999807237463572,-4.21883850364603
"20","GB48788",608,798,271,331,588,589,455,733,411,481,735,1027,-0.436350797395514,6.14179427112736,-3.24112084428223,0.00630174309416575,0.999807237463572,-3.88995154939809
"21","GB48897",16,42,9,34,28,20,9,15,0,4,12,16,1.53061057469037,0.628060175734207,3.0953571439325,0.00836227888463019,0.999807237463572,-4.41823464058351
"22","GB49017",188,433,115,268,344,225,56,94,22,207,60,389,1.15196538837892,4.25462572552433,2.9712945690921,0.0106361001675067,0.999807237463572,-4.0213831877924
"23","GB49018",163,162,118,160,226,198,53,58,30,132,44,168,1.12773763752582,3.77578980347281,3.98095986078965,0.0015141571289671,0.999807237463572,-3.83263758352037
"24","GB49019",21,40,11,26,27,35,14,19,9,11,14,18,0.745187870946934,1.28389624794892,3.5652275684783,0.00336294223949929,0.999807237463572,-4.31020269104836
"25","GB49543",7207,9073,2301,3795,7837,7990,2406,2682,1025,5257,2642,4006,0.939123144599675,8.97644351099616,3.51404820951267,0.00371270396408777,0.999807237463572,-4.09895197117013
"26","GB49558",33,36,9,19,41,41,11,15,8,15,27,19,0.744319372015326,1.38343713539244,3.14792222325302,0.00755134621554344,0.999807237463572,-4.34384098460178
"27","GB49594",142,169,57,74,138,150,102,148,75,159,153,232,-0.393516273860306,4.00171018675578,-2.93672764319395,0.011372297546142,0.999807237463572,-4.03230685756532
"28","GB49708",29,50,21,35,60,46,27,41,30,74,121,157,-0.871281663539207,2.63174649245804,-2.91553423038751,0.0118483471345359,0.999807237463572,-4.23864108614736
"29","GB50037",28,21,11,5,16,13,21,26,13,17,37,40,-0.927591786560651,1.26034985972843,-3.14591635581188,0.00758080131773663,0.999807237463572,-4.35543268061981
"30","GB50695",102,170,41,121,111,119,50,61,27,74,86,110,0.56834901931578,3.36618796753277,3.51772348101919,0.00368640348565521,0.999807237463572,-3.99657089666678
"31","GB50751",70,88,52,54,108,98,50,42,28,49,59,48,0.635894916036343,2.91445944877987,3.04355480182213,0.00924618306756605,0.999807237463572,-4.17544291126752
"32","GB50891",4388,5413,1485,5005,4676,4102,1177,2305,542,3126,1266,4968,1.03133532548834,8.38737899486973,3.13040086547496,0.00781254374732652,0.999807237463572,-4.12839889505286
"33","GB51185",16,20,13,17,29,18,20,38,13,17,63,43,-0.806759085643244,1.56617451958516,-2.92866051768454,0.0115512330635424,0.999807237463572,-4.35140561347266
"34","GB51949",18,51,5,9,15,22,1,3,0,8,13,18,1.75360995492645,0.0807689577779097,3.02505108648712,0.00958392140128666,0.999807237463572,-4.45321346344463
"35","GB51977",92,128,54,83,125,119,106,122,86,94,126,182,-0.385344008251668,3.76666777986203,-3.05824965110303,0.00898640999859764,0.999807237463572,-4.03268935075357
"36","GB52595",70,90,46,38,74,68,111,94,49,56,95,131,-0.585971880608254,3.22227607071464,-3.01104765430129,0.00984763239355025,0.999807237463572,-4.13416075279835
"37","GB52630",82,96,47,42,68,90,82,109,96,68,95,154,-0.632090968244678,3.39101149549548,-3.09273148229378,0.00840498675797419,0.999807237463572,-4.08868300444853
"38","GB53148",168,169,81,86,174,92,21,91,11,48,27,63,1.58217390045683,3.07289958619524,4.89141281693779,0.000279299076011934,0.999807237463572,-3.86685433145474
"39","GB53212",33,17,23,14,23,11,36,66,27,36,34,35,-1.13600982263707,1.80303330290959,-2.95363277443256,0.0110061665817028,0.999807237463572,-4.32847586840978
"40","GB53235",85,71,49,54,81,90,52,101,82,122,142,149,-0.694266436908214,3.44674534492407,-3.16803685729574,0.00726221618018614,0.999807237463572,-4.06133362656111
"41","GB53647",479,550,193,460,330,468,136,273,77,409,186,284,0.824760576942371,5.16722528025653,3.09498877592227,0.00836825754525962,0.999807237463572,-3.90394294986947
"42","GB53701",16,16,5,7,12,14,17,16,9,13,20,24,-0.641454920539193,0.798453797367715,-3.05327977701682,0.00907344465656546,0.999807237463572,-4.40149736607847
"43","GB53865",796,1225,343,444,771,583,418,1449,921,828,1164,2847,-0.896145510517043,6.73219525537435,-3.28236359493825,0.00581698502516672,0.999807237463572,-3.94148271126607
"44","GB53925",2962,1383,1124,1171,2209,1700,1321,4171,2976,3406,3310,7216,-1.12956083673107,8.23255090818852,-3.55515374816107,0.00342904751842854,0.999807237463572,-4.02519745195784
"45","GB54177",12,27,7,17,25,17,5,8,2,8,7,13,1.11517414917606,0.446408774872538,4.46332215203823,0.000611205392108,0.999807237463572,-4.33580702689621
"46","GB54374",17,17,10,6,10,19,18,27,26,12,20,40,-0.956188768498954,1.13039820644574,-2.97838323057496,0.0104910596838834,0.999807237463572,-4.38486441036356
"47","GB54403",38,60,21,32,54,56,42,12,11,18,26,22,0.972002086860028,1.8920354634406,3.47430046455713,0.00400955151597868,0.999807237463572,-4.2507770309439
"48","GB54987",32,10,5,5,3,45,33,23,23,19,45,52,-1.62969735658637,1.2339292696485,-3.16526064858945,0.00730145456728074,0.999807237463572,-4.36316785579918
"49","GB55072",9,16,4,4,5,5,9,17,3,17,16,37,-1.24604454024772,0.301153340175876,-3.48107709537264,0.00395729661632989,0.999807237463572,-4.40558214258987
"50","GB55248",5,8,4,6,5,11,11,16,5,16,19,17,-1.17876551770191,0.280205311107298,-4.36794898704059,0.00072987586911993,0.999807237463572,-4.35391093213961
