"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40225",24,6,32,31,29,38,29,108,45,47,79,59,-1.09974427036009,2.50600242280979,-3.63267481611656,0.00289474976189768,0.680455363005963,-3.27872526849682
"2","GB40565",69,42,89,64,69,120,80,259,155,90,206,179,-0.952095883564729,4.00353538794823,-4.10939656597329,0.001155969745652,0.680455363005963,-2.40768031212077
"3","GB40637",43,18,47,38,27,38,40,88,61,39,84,60,-0.68207620924062,2.79907797339263,-3.78504941911983,0.00215486347950347,0.680455363005963,-3.08498776046186
"4","GB40647",22,11,38,31,20,29,24,82,55,34,65,70,-0.969623254554687,2.43624002016123,-3.70979626881292,0.00249261328738877,0.680455363005963,-3.26010178926664
"5","GB40838",38,18,48,26,34,30,50,165,61,48,75,83,-1.15882281933186,2.89291893352063,-4.32626920482411,0.000766272346379297,0.680455363005963,-2.79416720498594
"6","GB41117",212,116,213,281,139,255,189,516,282,204,424,346,-0.520785408784498,5.23610176908878,-3.60354641357694,0.0030632345860663,0.680455363005963,-2.48727770560598
"7","GB42177",146,67,120,154,53,158,91,82,91,50,100,27,0.847755472468151,3.72269437886375,3.45602459530685,0.0040818702804947,0.680455363005963,-2.94775224125176
"8","GB42246",66,35,82,131,53,96,93,203,131,65,152,101,-0.575303185990069,3.81904787523167,-3.60484494779553,0.00305551614182791,0.680455363005963,-2.8092967290306
"9","GB42409",37,8,22,13,54,44,43,204,85,71,60,122,-1.70844490482944,2.8364435315552,-3.83946553082702,0.00193996956790604,0.680455363005963,-3.08382707166994
"10","GB42754",24,18,21,35,28,33,42,69,36,38,55,54,-0.751703791960754,2.46041287700703,-3.4504707210713,0.0041262909796446,0.680455363005963,-3.37184411067183
"11","GB43568",5,3,4,3,13,11,10,25,14,9,28,23,-1.46195439365306,0.646575249793905,-3.53326812156298,0.00351179646696434,0.680455363005963,-3.85534017936041
"12","GB43603",9,5,11,18,8,13,3,6,2,2,9,7,1.3074226567073,0.105620889346162,3.86370092875119,0.00185141651378721,0.680455363005963,-3.88448913090823
"13","GB43908",1114,500,505,1218,801,820,534,822,462,361,535,392,0.797286875274282,6.59211759621377,4.04261897217365,0.00131317465934066,0.680455363005963,-2.36145043901587
"14","GB43935",134,51,101,126,86,117,90,277,182,123,197,177,-0.611458264944531,4.29744902357484,-3.63990880170979,0.00285438262972278,0.680455363005963,-2.62314181910288
"15","GB44178",47,14,46,55,100,71,59,200,137,107,184,150,-1.31588101606526,3.61712039795052,-3.94578556590841,0.00158096587599049,0.680455363005963,-2.69843539835131
"16","GB44179",13,11,14,18,13,19,15,53,27,22,47,44,-1.01378360841244,1.75657463515752,-3.75157582749415,0.00229894413068335,0.680455363005963,-3.47016785924515
"17","GB44362",62,40,38,82,26,72,85,124,86,55,112,81,-0.662048571949247,3.35785311745019,-4.10957339062557,0.00115558013714869,0.680455363005963,-2.68055317127612
"18","GB44657",28,17,34,26,31,34,35,80,69,27,87,40,-0.818876820960168,2.56122542977178,-3.49393021018581,0.00379130245921713,0.680455363005963,-3.31851067298546
"19","GB44961",19,12,16,26,16,21,24,78,44,26,32,46,-0.978106361918915,2.04374999126999,-4.24108387608836,0.000900071912458854,0.680455363005963,-3.18344018966102
"20","GB45427",2,3,3,3,8,8,7,15,16,7,38,27,-1.75161244906412,0.371474446224212,-3.45558803921283,0.0040853443956903,0.680455363005963,-3.9328686978816
"21","GB45593",56,20,69,89,57,76,56,232,103,74,166,138,-0.909111825306772,3.6373887105082,-3.5445270346445,0.00343569879654069,0.680455363005963,-2.92882126882953
"22","GB46047",221,86,191,346,85,176,90,179,70,84,157,86,0.814825962966795,4.33877416833083,3.86809125072809,0.00183582121927652,0.680455363005963,-2.43095095915612
"23","GB46337",130,88,135,219,81,209,89,174,107,69,144,82,0.484793897950122,4.20273417199614,3.50698529261376,0.00369613583788387,0.680455363005963,-2.74264013190907
