"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB47499",80,80,101,139,136,83,152,273,241,362,306,286,-1.19946225626171,4.37529142741765,-7.8971792280666,1.7862865891561e-06,0.00889034835422993,5.11116294176848
"2","GB52955",232,186,235,329,364,175,341,458,578,780,557,552,-0.911307051195739,5.52286468887548,-8.03727314015719,1.46034853726785e-06,0.00889034835422993,5.38333181995323
"3","GB44118",69,39,78,85,75,68,124,158,199,239,206,232,-1.32505822129615,3.85191796895753,-7.30688545435925,4.28745735463112e-06,0.0142257835026661,4.26080605592698
"4","GB47938",538,383,594,656,911,433,701,1257,2055,2154,1731,1592,-1.17618667851026,6.8694854148517,-6.77805684040554,9.75927823841925e-06,0.0242859638963063,3.64958846869352
"5","GB41786",259,121,208,232,273,193,277,465,761,812,781,606,-1.28970453922305,5.47176525295778,-6.28346022355479,2.17920886235993e-05,0.0309883500227582,2.98058603956863
"6","GB48385",137,100,149,145,194,83,211,169,328,402,311,431,-0.976784754883671,4.64307776707391,-6.45024025951524,1.65588152941721e-05,0.0309883500227582,3.21446971250536
"7","GB53345",106,73,153,136,177,74,154,173,221,374,318,311,-0.911672262563295,4.41803219816074,-6.31449688467726,2.07003379103851e-05,0.0309883500227582,3.00125064544026
"8","GB49774",87,36,92,89,91,56,101,146,226,225,243,313,-1.28236623308273,3.92504050316095,-5.96172529053299,3.7419974512696e-05,0.0458664830000034,2.41984305465916
"9","GB50117",11,6,8,10,16,13,33,28,56,71,28,42,-1.7826390599871,1.41768375940112,-5.90151292883845,4.14705994575076e-05,0.0458664830000034,1.61981816797344
"10","GB42609",22,21,26,41,38,11,55,46,83,79,60,52,-1.05248983961148,2.32187733439974,-5.27039571327894,0.000125513524484237,0.0693543738276793,1.12396913609749
"11","GB45708",77,56,74,165,62,65,110,343,366,317,391,210,-1.62532287563228,4.20367446820537,-5.22152893887714,0.000137060897739777,0.0693543738276793,1.27484404631565
"12","GB45732",187,148,178,306,364,170,225,368,623,898,469,518,-0.947175562803796,5.34559415569649,-5.15966776514687,0.000153284732188964,0.0693543738276793,1.19059132672866
"13","GB46630",1306,1215,1903,1985,2929,1008,1691,3589,3651,4684,3632,3799,-0.8437337484135,8.21756372904884,-5.19267187859099,0.000144394362138761,0.0693543738276793,1.2034660039785
"14","GB46724",3,2,3,5,9,0,11,11,18,25,11,13,-2.04687695663969,-0.230059979336317,-5.2900487694389,0.000121159451800483,0.0693543738276793,0.343951632955789
"15","GB49854",3877,1265,2418,1150,2074,730,8265,11714,5609,7211,12092,4985,-2.06260707727815,8.84978717639945,-5.26675683555992,0.000126337427939097,0.0693543738276793,1.28860656424304
"16","GB50047",38,10,44,25,34,43,49,94,166,205,105,155,-1.88753379131997,2.91686697848964,-5.55486114149445,7.56777635491593e-05,0.0693543738276793,1.64368028286608
"17","GB50171",76,90,90,152,182,91,107,383,354,409,319,400,-1.30359280735999,4.53074968913626,-5.2717921221907,0.000125198841408731,0.0693543738276793,1.37077615588096
"18","GB50930",74,43,113,119,151,42,120,116,235,378,196,209,-1.02000044414293,3.99832695721498,-5.16978369288915,0.000150500811446117,0.0693543738276793,1.1891174218626
"19","GB50931",323,134,335,354,441,165,374,450,844,915,599,646,-0.96516229071463,5.69186504729048,-5.30582558588869,0.000117778118844423,0.0693543738276793,1.43501102472788
"20","GB50933",33,14,26,32,33,10,30,54,71,119,55,64,-1.2006847922301,2.25715825785264,-5.4378538234569,9.30606657204747e-05,0.0693543738276793,1.34339390533847
"21","GB53672",397,444,370,630,713,298,892,890,1215,891,978,1131,-0.935209052128524,6.42323125224062,-5.21265066224719,0.000139274923913214,0.0693543738276793,1.27590561995486
"22","GB55619",426,393,531,525,715,294,765,837,1161,1205,709,1048,-0.81239689463936,6.3944184011769,-5.33813290848003,0.000111157161199724,0.0693543738276793,1.48383187641847
"23","GB43465",45,60,54,101,142,33,107,121,168,180,169,136,-0.908570627872859,3.62769002360096,-5.07110328221065,0.000180068937325036,0.0779307044405832,1.0089527800801
"24","GB44544",93,54,122,139,140,63,113,185,213,295,308,177,-0.886924602523476,4.16120937322387,-5.04655430237502,0.000188323357682377,0.0781071125987658,0.992424712532568
"25","GB44300",517,445,363,628,558,225,184,220,268,378,484,301,0.788131858739302,5.50399266848645,4.93756798868423,0.000230001124071645,0.0812820075743333,0.811557170224434
"26","GB46118",806,698,887,1067,1348,575,953,1222,1856,2127,1591,1610,-0.587676407090351,7.18886658310543,-4.92173962926943,0.00023680713478558,0.0812820075743333,0.78179432518951
"27","GB49476",123,121,161,199,262,121,153,237,349,401,411,430,-0.792642935452183,4.82371113837596,-4.98355401166146,0.000211355517083842,0.0812820075743333,0.891646101696283
"28","GB50525",355,224,411,485,574,285,417,691,879,1682,736,861,-0.897981012468104,6.12625764115821,-4.96069773863209,0.000220418443104098,0.0812820075743333,0.852704062096164
"29","GB50772",793,894,985,1131,1704,515,1095,1908,1765,2196,1768,2222,-0.716201278370212,7.37060641276063,-4.95830505140422,0.000221390231171211,0.0812820075743333,0.840815977446581
"30","GB40629",89,20,127,66,85,68,214,153,229,886,273,237,-1.86341638515667,4.11859632701897,-4.85816241164226,0.000266319876847936,0.0837815845848029,0.668382754313375
"31","GB48935",65,83,111,98,148,83,118,164,175,299,193,281,-0.872915320373856,4.12429506913002,-4.85216826215029,0.000269292417103129,0.0837815845848029,0.665106442833542
"32","GB51354",65,97,97,146,191,77,223,159,263,261,248,248,-0.924016396912075,4.31633921463007,-4.85207279961505,0.000269340034831595,0.0837815845848029,0.66647329636137
"33","GB50827",35,28,56,41,74,32,63,127,125,179,73,126,-1.17167816940615,3.11935921590029,-4.82759250936922,0.000281843782354593,0.0850143336229583,0.572220289089468
"34","GB55375",571,306,841,920,1596,458,1209,1362,2816,2701,1661,1479,-1.18390394498772,7.13261541958171,-4.73624573771728,0.000334063609347406,0.0978020343365907,0.467494933216161
"35","GB43711",28,36,26,55,56,21,52,104,100,119,66,80,-1.03649459386111,2.7949206810453,-4.70139386743395,0.000356541722236031,0.101400465803927,0.338433064499112
"36","GB47037",46,8,41,53,56,58,82,76,177,177,127,173,-1.60365153415688,3.15180905218421,-4.61720246710191,0.000417530364158166,0.112326952562983,0.227757812053832
"37","GB55781",377,175,400,440,605,284,475,532,1131,1102,803,913,-0.933387734909911,6.07602949789841,-4.62419595482794,0.000412076422061227,0.112326952562983,0.270160695345317
"38","GB44120",385,365,286,629,530,125,466,550,1171,953,2068,2270,-1.37433067446844,6.26667317428385,-4.58748703113338,0.000441548791381163,0.115662543931792,0.208201676275418
"39","GB43221",6,2,7,6,16,8,22,19,21,29,20,30,-1.53117470287896,0.710319887314124,-4.56419059379452,0.000461373960090335,0.116498788673224,-0.296831980787399
"40","GB44503",566,613,686,749,911,407,123,387,210,813,422,369,1.17048360510625,5.87122260229022,4.55646589732468,0.000468148638429672,0.116498788673224,0.148386501795477
"41","GB44254",1163,836,1053,1217,1209,1136,2679,2005,2987,3053,2970,2642,-1.0707746268161,7.77868410929733,-4.54036462260995,0.000482601698701715,0.117166275826265,0.129138510174756
"42","GB45676",30,26,31,43,52,28,47,98,133,97,63,94,-1.09666341056545,2.78539238553909,-4.50368890873805,0.000517267229633906,0.117985448163439,0.0187313117395629
"43","GB45970",7,10,7,14,21,14,17,29,46,51,25,46,-1.36530257973526,1.3487771679647,-4.51881813652435,0.000502666094614704,0.117985448163439,-0.190770474693955
"44","GB50453",1262,1616,1178,2597,2960,787,1866,2609,3366,4500,3153,3451,-0.761927754266956,8.1242740571014,-4.49934983422028,0.00052153503307126,0.117985448163439,0.0567782072131582
"45","GB51809",105,76,157,182,197,92,199,195,297,341,241,215,-0.724595804215505,4.49046249200175,-4.44477155224401,0.000578424359334299,0.125166001582905,-0.0428129799174775
"46","GB54226",23,13,30,26,41,17,27,34,59,114,56,80,-1.05929757625849,2.21960743795353,-4.44757282130438,0.000575354300971532,0.125166001582905,-0.132514928835247
"47","GB41625",534,531,638,898,1308,443,464,1681,2220,3430,2270,2532,-1.18135214727263,7.1392741547401,-4.40265852908634,0.000626666639477618,0.125817861678595,-0.110109341773757
"48","GB42191",121,122,95,154,181,50,57,66,86,134,96,79,0.645229584478708,3.63103447395276,4.40548552972707,0.000623302081877022,0.125817861678595,-0.103606600880934
"49","GB54209",386,169,270,389,259,164,95,97,150,355,113,139,1.05912641151152,4.60804586143943,4.39993426965602,0.000629926608701953,0.125817861678595,-0.124396458860805
"50","GB55389",1419,1194,2197,2276,2915,902,2441,2916,3739,3270,2972,3831,-0.721720546166074,8.20095029734411,-4.39431938065133,0.000636700810665493,0.125817861678595,-0.123666287921647
