"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40259",533,554,503,799,713,774,411,541,275,289,506,280,0.536418586629999,6.21870428268423,4.42244941020275,0.000618963612123291,0.163347693730922,-0.094560375295873
"2","GB40264",6,6,3,6,10,7,11,16,11,9,22,10,-1.23673498732053,0.501808215530385,-4.81478345732875,0.000297474067707857,0.163347693730922,-0.643556720318121
"3","GB40265",54,47,33,83,104,56,98,102,59,56,104,69,-0.641800902409746,3.39570006562476,-4.4631736927324,0.000573159471880738,0.163347693730922,-0.129769440440755
"4","GB42706",26,23,19,43,51,39,47,59,33,45,57,54,-0.810393798579064,2.60363069181673,-4.62341487184352,0.000424309567358265,0.163347693730922,-0.0523125977115999
"5","GB42797",370,326,143,439,273,290,56,96,109,78,212,80,1.39249339196046,4.68676389305468,4.51775420665829,0.000517190689220148,0.163347693730922,0.053604753348778
"6","GB43097",370,549,383,578,671,599,247,431,191,185,434,190,0.728691190068316,5.81345485476488,4.55409348728257,0.000483082230573823,0.163347693730922,0.130617588735585
"7","GB43173",67,74,87,107,115,92,48,49,38,27,73,22,0.88290230090119,3.20313834716595,4.29188548770991,0.000792930626688462,0.163347693730922,-0.430540008599848
"8","GB43215",197,199,146,297,272,245,157,197,71,89,206,113,0.491105983284609,4.69854158229667,4.21808373965825,0.00091280200689414,0.163347693730922,-0.445839515451525
"9","GB43733",177,225,109,200,256,238,32,81,78,71,137,58,1.2704308556666,4.16675048364275,4.3566414617579,0.000701109566874954,0.163347693730922,-0.234293143479411
"10","GB43909",111,80,77,192,261,129,241,210,192,162,326,301,-1.05845935459455,4.7323209490953,-5.12354676851945,0.000169360553057973,0.163347693730922,1.05193784789254
"11","GB44144",740,590,482,935,839,1037,446,555,245,393,471,310,0.677396546963752,6.37367771990341,4.60565427267903,0.000438625464452532,0.163347693730922,0.213058118015688
"12","GB44252",13,6,9,17,36,13,28,28,20,16,51,32,-1.20278726808466,1.59533706097719,-4.20572405077957,0.000934628122880069,0.163347693730922,-0.908608772741659
"13","GB44884",343,205,199,365,385,352,424,491,219,247,458,435,-0.537150396847667,5.6592281129948,-4.33331971838072,0.00073284775606596,0.163347693730922,-0.246855394825639
"14","GB46144",28,19,25,35,51,38,48,82,44,36,70,54,-1.00882952662345,2.66862340944236,-5.73731933419942,5.74023047108086e-05,0.163347693730922,1.42996531987298
"15","GB46648",99,133,73,133,170,140,76,76,47,31,106,46,0.755136775332301,3.70264359616852,4.33278158952987,0.000733597293533041,0.163347693730922,-0.303073101621306
"16","GB46770",8,2,2,6,9,7,19,13,8,18,25,16,-1.77569927403567,0.519233556243764,-5.20986093903378,0.000145007968088451,0.163347693730922,-0.277441548596976
"17","GB46983",200,123,145,274,348,210,287,343,211,190,307,283,-0.618167364950134,5.16130400306598,-4.61585125633155,0.000430346228440864,0.163347693730922,0.235873593097615
"18","GB47237",7,4,2,9,6,4,11,14,12,7,17,11,-1.40239172783527,0.307697588500579,-4.84321564269844,0.000282293489527587,0.163347693730922,-0.710739392100626
"19","GB47305",227,115,154,228,281,192,302,314,157,201,308,307,-0.673744472416169,5.09416768332763,-4.71614335173965,0.000357031931328006,0.163347693730922,0.403686772223163
"20","GB47604",1919,2100,1623,3392,2811,3374,1375,1682,799,1119,1901,1040,0.689105783669698,8.07779560048705,4.70797232016503,0.000362489751545705,0.163347693730922,0.322679331695841
"21","GB48245",517,562,480,835,808,783,502,589,256,288,557,345,0.438313751367987,6.29467058676989,4.31407092311276,0.000760155078603514,0.163347693730922,-0.280131057062142
