"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40109",422,1202,1038,1169,694,676,1364,1094,735,335,635,334,0.634823230195066,6.74323042816035,2.74828641339702,0.0157753048279598,0.999941869643617,-4.10886240476897
"2","GB40119",123,278,312,365,134,326,278,290,255,133,235,176,0.387021744475629,5.06570640218075,3.18598108640953,0.00664990813551701,0.999941869643617,-3.8933912456262
"3","GB41233",148,219,362,252,123,282,254,259,169,129,245,116,0.502633026762277,4.882624886448,3.12879765432164,0.00744806183054827,0.999941869643617,-3.92659021182373
"4","GB41296",33,16,14,9,14,50,74,111,62,86,40,46,-1.54339079482033,2.40182480786053,-3.31814366870652,0.00511643860250978,0.999941869643617,-4.270452178801
"5","GB41642",224,586,528,657,305,468,492,476,476,257,353,290,0.466476028775542,5.89357976997031,3.26434451161112,0.00569268972902695,0.999941869643617,-3.87176162596288
"6","GB42239",115,344,306,386,190,224,245,296,257,133,193,125,0.569877041653738,5.00804541067251,3.03959000448482,0.0088870918087403,0.999941869643617,-3.94690000409125
"7","GB42487",177,339,443,445,224,323,422,368,304,208,320,179,0.381509831647397,5.45196524955304,2.91120293652042,0.0114525783704302,0.999941869643617,-3.97517260004081
"8","GB42551",37,276,182,213,52,136,97,139,103,31,105,59,0.885969729633005,3.85039675355694,2.79320019896689,0.0144454954068243,0.999941869643617,-4.16221319337085
"9","GB43453",78,160,208,303,104,291,137,182,144,58,276,50,0.780420954841832,4.39039328246928,2.86834611471676,0.0124616464447422,0.999941869643617,-4.06729046007839
"10","GB43516",17,170,27,294,53,139,454,199,770,114,346,134,-1.50507763765165,4.38226805772186,-2.78480222460867,0.0146855304396006,0.999941869643617,-4.1352087525396
"11","GB43691",16,22,23,21,7,25,15,21,15,6,15,5,0.85069293010245,1.11124711947289,2.99937956059052,0.00962267781778125,0.999941869643617,-4.41117840095002
"12","GB43817",7,2,5,8,2,6,15,15,22,5,15,5,-1.02352887382249,0.15510082329688,-2.71338909943945,0.0168902266359668,0.999941869643617,-4.48461549537368
"13","GB43847",18,39,65,41,17,55,21,32,27,11,29,10,1.10595508596101,1.971977815902,4.27446975431425,0.000781936956606303,0.999941869643617,-4.20459289694477
"14","GB44225",116,550,159,606,174,399,974,543,1309,299,648,719,-1.01060851810642,5.98643339133699,-2.90990984170069,0.0114818151080415,0.999941869643617,-4.01642452596058
"15","GB44227",8,6,21,28,3,29,69,31,68,18,37,11,-1.08840106211644,1.5569138368691,-2.59424114741023,0.0213036451649584,0.999941869643617,-4.42835749955207
"16","GB44325",8,15,22,21,10,17,38,27,47,12,34,24,-0.650881241990907,1.60469112058308,-2.93501476826139,0.0109271016450772,0.999941869643617,-4.38337901973868
"17","GB44523",123,211,324,270,156,341,512,379,626,285,421,199,-0.48276187105069,5.4139617053997,-2.66768657984837,0.018466812432501,0.999941869643617,-4.06912159422066
"18","GB45272",35,40,48,90,24,108,267,128,165,32,82,82,-0.814715616407543,3.41251332153456,-2.69446542713819,0.0175264938687649,0.999941869643617,-4.24751555322978
"19","GB46150",34,15,18,15,21,20,19,5,5,7,4,8,1.60370721367039,0.847379562360396,3.49653773974331,0.00359211985301718,0.999941869643617,-4.39405726497301
"20","GB46527",12,35,44,51,20,72,34,35,39,12,22,15,0.783770798883838,2.07792332786658,3.16441445490917,0.00694041321031593,0.999941869643617,-4.31103563241258
"21","GB46528",101,288,464,456,149,344,297,221,364,144,194,112,0.637923865205691,5.09033097752223,3.01337441443938,0.00936007961982892,0.999941869643617,-3.95139014609858
"22","GB46656",105,284,254,430,155,326,446,363,573,255,413,369,-0.46221303597896,5.47722000473839,-2.59505040439966,0.0212702055023884,0.999941869643617,-4.09398791786152
"23","GB47042",94,107,157,197,94,197,711,219,227,181,198,309,-0.733359571758649,4.8088552832862,-3.00048790813174,0.00960161819708569,0.999941869643617,-3.99255604713305
"24","GB47429",5,6,4,15,2,13,37,17,26,9,8,15,-1.05486606762801,0.627186727010745,-2.66936562057013,0.0184064427057906,0.999941869643617,-4.4694240429179
"25","GB47694",463,794,1066,946,414,930,796,911,876,434,720,344,0.451084639662106,6.6426697504147,2.77139463719,0.0150768489630617,0.999941869643617,-4.0926041778336
"26","GB48068",138,333,383,356,155,316,234,172,115,158,460,77,0.893030137512772,4.95999572910226,2.9106813727438,0.0114643620532933,0.999941869643617,-3.99831585063293
"27","GB48123",21,44,48,46,28,52,29,34,32,28,30,25,0.683698938763836,2.31896808625398,3.26843896488172,0.00564664014704237,0.999941869643617,-4.27061768690049
"28","GB48146",413,504,401,306,66,783,118,105,247,257,172,70,1.54433949712266,5.01482572079604,3.11237513670904,0.00769439735597256,0.999941869643617,-3.9493858565381
"29","GB48354",8,10,13,13,9,16,4,4,14,6,5,6,1.19778188319719,0.344153550456287,3.28235422091772,0.00549290123335009,0.999941869643617,-4.43776825533477
"30","GB48832",147,399,359,249,68,490,105,151,70,112,329,37,1.47233485146026,4.55299091040159,3.33939353796781,0.00490524472396693,0.999941869643617,-3.92913464715788
"31","GB48975",22,63,73,53,37,64,58,40,48,25,45,21,0.646153912127873,2.6556799177643,3.26569737626022,0.00567743296146268,0.999941869643617,-4.23030790321047
"32","GB48994",64,137,135,245,47,230,421,242,333,109,236,172,-0.601814767896047,4.62152118445476,-2.87383262200494,0.0123277490920464,0.999941869643617,-4.04766085277838
"33","GB49080",73,150,188,225,64,157,126,154,134,65,128,80,0.549901738619788,4.13373655644313,3.46150375865696,0.00385034837822645,0.999941869643617,-3.93919637563583
"34","GB49184",5,9,21,25,8,16,48,35,30,16,21,17,-0.749300311573856,1.41733908591743,-3.14638579850104,0.00719292463560109,0.999941869643617,-4.37705689268786
"35","GB49912",6,6,4,11,2,3,109,15,18,15,8,25,-1.85609088282421,0.63883285761149,-3.07808933560942,0.00823503933515028,0.999941869643617,-4.44211370198455
"36","GB50050",116,216,215,252,134,105,190,150,175,76,137,80,0.598783527600409,4.40755540104464,2.67360811254268,0.0182547561688889,0.999941869643617,-4.12261128085987
"37","GB50180",53,236,356,220,147,102,346,113,75,33,65,27,1.23468856968994,3.99549733676295,2.8287041848162,0.0134723993346265,0.999941869643617,-4.14313988719264
"38","GB50888",8,7,12,21,5,9,9,8,7,5,5,5,0.824343202232989,0.265186080918049,2.86444777605118,0.0125576509118327,0.999941869643617,-4.46877422312352
"39","GB51567",4,5,11,18,5,16,40,20,32,10,21,19,-1.02489413787087,1.03998129566844,-3.76402910324648,0.00211730504278947,0.999941869643617,-4.35800445922524
"40","GB51782",194,442,421,413,224,304,528,279,277,160,314,224,0.472020436001122,5.44814262152576,3.01881139282019,0.00925998154818776,0.999941869643617,-3.93854705478118
"41","GB52437",95,142,166,251,106,170,336,232,252,139,238,173,-0.306552607411584,4.72672074110485,-2.60827342977983,0.0207309387203567,0.999941869643617,-4.11521278730944
"42","GB53141",694,1574,430,1722,580,1269,3222,1120,3384,1770,2198,3655,-1.10039752517823,7.7565336474455,-2.79533038854823,0.0143852214033589,0.999941869643617,-4.18355327301527
"43","GB53221",102,194,180,279,100,157,383,353,450,122,250,190,-0.487106571703682,4.91572780774924,-2.71531386662568,0.0168267833774022,0.999941869643617,-4.06932991089106
"44","GB53372",948,1325,2436,1853,1174,1418,1394,1489,1463,773,1084,815,0.643722273581053,7.55643545445685,3.94660718506009,0.0014792522491643,0.999941869643617,-3.90114350027817
"45","GB54001",27,36,74,36,16,58,53,36,15,21,25,21,0.780816445156058,2.20793354575984,2.68221115263972,0.0179508771425564,0.999941869643617,-4.36507664884759
"46","GB54905",2,11,14,14,6,6,3,3,3,5,9,1,1.38345055196356,-0.294454872679813,3.01160110667982,0.00939295798156173,0.999941869643617,-4.48178766576543
"47","GB55000",321,787,1000,742,217,428,522,848,421,204,353,176,0.752700852705882,5.9860754210755,2.63935250322648,0.0195149852098638,0.999941869643617,-4.08820629128111
"48","GB55445",29,30,32,50,18,60,26,36,14,24,23,10,1.01866673942557,1.97912017201138,3.43306357652925,0.00407364877958462,0.999941869643617,-4.29044330614989
"49","GB55575",215,351,504,591,194,565,1247,545,823,340,570,523,-0.47507117029284,6.1328522569563,-3.08002437635604,0.00820354738795929,0.999941869643617,-3.95689508219043
"50","GB55638",247,968,826,766,418,664,769,784,423,311,489,257,0.623690383035238,6.26460384458836,2.86388851837739,0.0125714831413694,0.999941869643617,-4.03080496207152
