"","ID","N.1","N.2","N.3","P.1","P.2","P.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10922",224,124,151,335,267,238,-0.849290910162099,4.93339044792952,-4.96500179340378,0.0013578681521671,0.818116489305795,-2.60597008191573
"2","11649",419,294,166,887,905,1069,-1.87496981863604,6.20135162375615,-5.64984346871132,0.000621945791066384,0.818116489305795,-2.51182803391233
"3","11831",17,10,18,42,35,34,-1.36889174418914,1.77231699359566,-5.02107281521638,0.00127069452265145,0.818116489305795,-3.85181089213812
"4","14267",57,50,76,130,102,129,-1.0612931633461,3.62007823399191,-4.96772937250648,0.00135347847905618,0.818116489305795,-2.9895559047338
"5","14962",371,341,305,670,590,443,-0.800477069941339,5.97180857467514,-4.95770082270848,0.00136969538033265,0.818116489305795,-2.64825354914353
"6","15474",207,143,136,354,316,222,-0.945634775458449,4.9605303783587,-5.14958212362654,0.00109325165958462,0.818116489305795,-2.55544297334183
"7","1634",497,429,234,1244,990,1527,-1.82130700588951,6.6040028562437,-5.68226339815154,0.00060030628435815,0.818116489305795,-2.5422936210511
"8","1660",16,8,15,46,44,55,-1.93827058128091,1.85509117053683,-5.6057726602597,0.000652760417755859,0.818116489305795,-3.83053005269118
"9","17138",318,285,249,664,453,422,-0.90190668600328,5.76574496795523,-5.95899989320464,0.000446117458566219,0.818116489305795,-2.37590239902303
"10","18384",157,122,170,342,270,278,-1.06513424243571,4.91760633487158,-7.34098695356425,0.000115663955048699,0.818116489305795,-2.13187609804196
"11","19260",391,204,253,605,531,479,-1.05287115172316,5.78519152454674,-5.55118903969321,0.000693293179835507,0.818116489305795,-2.47413535884903
"12","19905",76,62,52,131,102,96,-0.866082562836089,3.58057656914791,-5.14274485889795,0.00110197139725636,0.818116489305795,-2.95042149950029
"13","22108",104,79,62,196,177,218,-1.36202288452557,4.18046036699655,-6.15134162850459,0.000364974375898568,0.818116489305795,-2.54969064252048
"14","23251",16,11,12,47,41,29,-1.60970455703396,1.71242266633844,-5.65330603671809,0.00061959388637509,0.818116489305795,-3.84576467521058
"15","23875",66,61,27,152,136,193,-1.79117497664274,3.65932577128006,-5.02995108735393,0.00125746538906475,0.818116489305795,-3.05494324713428
"16","24574",213,160,204,380,417,314,-1.02143143725749,5.25832761020492,-5.98524765512436,0.00043394665119026,0.818116489305795,-2.34242348641502
"17","24615",7,6,5,27,20,27,-2.01760247357808,0.87036983464251,-5.4704622710672,0.00075844201098908,0.818116489305795,-4.14346369575647
"18","2560",195,151,169,299,228,265,-0.693320462612932,4.9349260810614,-5.16703709942897,0.00107133400077793,0.818116489305795,-2.5375131020067
"19","27779",332,285,283,555,441,390,-0.684656834773882,5.73833991694565,-5.26197360934528,0.000960301303642724,0.818116489305795,-2.53590542941428
"20","29264",40,25,26,70,52,55,-1.03200076604895,2.60393236327252,-4.94771956433949,0.00138604837792881,0.818116489305795,-3.47921252444481
"21","29767",191,144,186,306,304,306,-0.899937852365662,5.05068811229492,-5.60291072605129,0.000654819204033319,0.818116489305795,-2.42697252168153
"22","29975",215,172,122,354,316,409,-1.18995533214833,5.1345405569778,-5.01707265632322,0.0012767050125762,0.818116489305795,-2.60015873228853
"23","30450",397,310,169,953,1273,1081,-2.07079009068845,6.3073463229797,-6.12448009954176,0.000375251231075296,0.818116489305795,-2.42596446668777
"24","3050",64,50,42,110,104,86,-1.01778011290975,3.37398420620376,-5.27282435272337,0.000948441866297287,0.818116489305795,-3.04051347284818
"25","31602",278,213,264,415,379,350,-0.680864330077355,5.47697778484529,-4.99539670847147,0.00130982377412419,0.818116489305795,-2.59078700591272
"26","33147",62,47,46,121,80,74,-0.881355880771708,3.29748037501406,-4.93404935800808,0.00140879487437143,0.818116489305795,-3.131702606516
"27","33726",23,21,18,67,61,100,-1.87958089675215,2.51597906822974,-5.19553364903384,0.00103658589698963,0.818116489305795,-3.57363767903344
"28","34105",555,347,213,1123,1461,1480,-2.0424077980932,6.61844624509745,-5.78023144851989,0.000539825245331294,0.818116489305795,-2.52279208702683
"29","34168",352,204,221,604,518,359,-1.01387727395687,5.65190528018089,-5.00864247013551,0.00128947467512533,0.818116489305795,-2.60758190437388
"30","34735",862,464,616,1586,1281,943,-1.06314707234777,6.99203107299147,-5.23826693066539,0.00098678549800758,0.818116489305795,-2.6927924279982
"31","349",72,46,41,145,109,115,-1.30280854637918,3.52345073669936,-6.71462570121797,0.000207830424423317,0.818116489305795,-2.78168740376141
"32","37934",33,22,19,71,97,69,-1.72330962960977,2.66077881211699,-5.34828011086657,0.000870309792803388,0.818116489305795,-3.47011782350266
"33","38264",99,61,78,183,111,124,-0.872607394445397,3.89824726723448,-5.02974683941692,0.00125776802002135,0.818116489305795,-2.83747893308817
"34","38461",146,126,115,278,238,309,-1.1655325388996,4.75964328114886,-6.33064166948697,0.000303886520684368,0.818116489305795,-2.32700504198928
"35","39452",474,386,250,928,931,1094,-1.53403266419706,6.41777793599999,-5.78749573021925,0.000535617235686492,0.818116489305795,-2.49892864375535
"36","40011",69,40,54,111,85,93,-0.905333513959309,3.37130131981327,-4.99752815338566,0.00130652556043803,0.818116489305795,-3.0864879378383
"37","4025",5112,3199,5295,1914,1473,925,1.61022570588359,8.47517554694967,6.55591891186857,0.000242684183119643,0.818116489305795,-2.58942156754005
"38","41059",28,20,12,55,56,53,-1.55638668414076,2.23759094458746,-4.93767847326928,0.00140271643938604,0.818116489305795,-3.69003891225074
"39","42086",493,400,414,1050,707,804,-1.02998636283628,6.44639567287956,-7.52855129028136,9.77856446358192e-05,0.818116489305795,-2.21889532758498
"40","42087",527,434,462,1142,776,902,-1.0466128178296,6.57855642262011,-7.59721988463407,9.20316613194366e-05,0.818116489305795,-2.2315116426806
"41","43483",171,99,122,367,264,183,-1.09787150829108,4.71981226236679,-5.19548439246689,0.00103664487612822,0.818116489305795,-2.58329379012102
"42","44229",36,29,21,68,58,53,-1.13918353414616,2.57396363261496,-4.92771420127583,0.00141947524597587,0.818116489305795,-3.50385906346635
"43","44869",72,58,79,144,112,101,-0.840450966691373,3.70873086659772,-5.28270024787718,0.000937788356144607,0.818116489305795,-2.85804613243496
"44","47480",693,473,544,1156,1009,966,-0.963361767152135,6.78675787308142,-6.66160156463038,0.000218812359255541,0.818116489305795,-2.38868958709134
"45","48891",251,185,217,408,328,304,-0.744629393845333,5.29899790788959,-5.97119645733066,0.00044041552750635,0.818116489305795,-2.33340854389891
"46","54242",341,181,288,697,505,429,-1.10083835149752,5.75021861141502,-5.57605677524437,0.000674491263584275,0.818116489305795,-2.46653513219711
"47","54792",111,91,97,174,145,160,-0.75062915680045,4.18625062533249,-5.23035813505443,0.000995799451068433,0.818116489305795,-2.67141646539917
"48","586",70,57,31,131,137,169,-1.58994731662219,3.62414253858075,-4.86969438217343,0.00152154058693858,0.818116489305795,-3.07589089439937
"49","7886",833,583,704,1346,1127,1176,-0.871100027265398,7.05357743544548,-6.04027663312153,0.000409609283697769,0.818116489305795,-2.53005472170229
"50","9915",55,40,25,123,99,125,-1.64429277477239,3.26640204351435,-5.97441567488033,0.000438924065138873,0.818116489305795,-3.06752252990832
